id	type	origin	dest	dtime	vot
484	111	126234	230479	1	3.579255423979713
207	111	126359	200344	5	31.67192901488366
1242	111	100403	200385	9	20.043420231312346
695	111	125469	200406	10	29.949891252404157
3187	111	125553	200380	11	55.83633110889225
3775	111	129912	200376	11	0.27863989292773844
578	111	125469	200361	13	47.35835885890452
1416	111	126386	200376	14	5.318589925969231
1997	111	125669	200379	15	9.188807949272144
1182	111	126384	200383	22	29.569203521708808
463	111	126234	200381	24	46.42336242095945
2239	111	125545	200377	30	23.295085786650958
1589	111	126399	200382	32	41.44014652180806
1866	111	131536	200384	35	33.08234778223056
959	111	101408	230616	37	7.363930990536869
982	111	101413	226359	37	19.48049627901003
2284	111	125545	200386	37	2.4255794635854393
2327	111	125545	200405	38	49.38909147245726
3753	111	129912	200377	40	10.993440588548962
1820	111	131536	200381	44	17.49986430909601
952	111	100385	233099	47	7.810285793683614
148	111	100375	225469	50	7.616930551346179
2336	111	125545	200405	50	18.988026416380517
237	111	126359	200375	59	1.488175983943158
1447	111	100404	200378	62	18.855465433847193
1036	111	130479	231786	66	0.6965245488441751
2989	111	132077	200361	81	3.353485747681617
3280	111	125682	229913	81	5.433617486447936
3880	111	125694	226393	82	11.848894029856613
1081	111	126384	225673	88	22.876389071119796
2853	111	125551	226364	88	21.09060904594831
3346	111	125682	200378	88	33.0103800946425
1294	111	126386	200385	92	1.7342565025341532
3389	111	125682	200385	92	1.5561823597318474
1004	111	130479	225545	93	16.264395160172597
1772	111	131536	200378	94	5.466622732687074
2076	111	125669	231786	94	133.94162158891615
447	111	126234	200379	95	2.646513130335821
3443	111	125682	230615	97	77.17847229490161
601	111	125469	200379	105	8.802306822373948
2356	111	133099	200344	105	14.691727952787566
1274	111	126386	200385	111	0.09341737818927225
3744	111	129912	200377	111	17.84249412119834
3738	111	129912	200377	113	19.881281582765208
3328	111	125682	200361	116	4.140174101428563
1540	111	126399	233099	123	45.547376948323304
2478	111	133099	200383	124	21.419744205373245
3235	111	125553	226399	135	17.74639381614862
2342	111	125545	231791	139	0.0981877538927791
1508	111	100406	231786	146	0.16699811913950935
3399	111	125682	200385	147	50.41937026280026
2789	111	125551	226359	149	12.494231623352578
890	111	100383	200344	152	10.419316967589657
2176	111	125545	225553	159	10.144687030986614
2272	111	125545	226364	160	22.847303770806317
783	111	126364	200345	162	10.908753890525372
897	111	100383	200377	165	40.69294627141716
2573	111	133099	226386	165	16.25526342266618
1706	111	131536	200359	166	7.747679653106136
3139	111	125553	200377	170	10.02618343967523
2	111	132097	200384	174	8.371301273668376
2094	111	125545	225551	175	20.52485268677361
1623	111	130631	200405	177	18.496524056739908
472	111	126234	201410	181	48.559265856311065
2053	111	125669	200406	182	5.110328809799499
3145	111	125553	200383	185	9.723266408935105
2379	111	133099	200362	186	18.43479831086375
518	111	126234	231791	192	0.6916136445631778
2548	111	133099	201413	193	15.218275842735686
2833	111	125551	200376	198	70.24416812634188
2720	111	125551	225545	200	14.024662049900943
1810	111	131536	200382	201	27.88477882624795
3261	111	125553	231786	201	77.53970184209446
613	111	125469	200378	203	0.4451593441053446
751	111	126364	233096	205	28.94422784463105
3850	111	100344	226364	205	2.6939156913776734
1815	111	131536	200381	214	6.733708520677959
1749	111	131536	200379	215	24.678295765159838
2001	111	125669	200378	218	45.33514420984554
1672	111	131536	225669	222	4.130609428698243
2536	111	133099	200384	225	37.13344636306773
1795	111	131536	200383	227	14.645732632124856
2550	111	133099	201413	227	14.267175441580525
2051	111	125669	201413	230	8.658156369552515
190	111	126359	200344	231	5.8290959371355315
1152	111	126384	200375	246	37.39063145265432
794	111	126364	200344	248	0.7721746872660309
12	111	132097	200379	251	19.138869057533963
2222	111	125545	200379	253	15.387604923404503
1316	111	126386	201413	256	4.780647845813209
2331	111	125545	200405	261	117.98307056768977
1390	111	126386	200362	265	0.9255279980589466
2892	111	125551	200384	267	49.72630202225894
1576	111	126399	226234	268	58.71735500758229
1311	111	126386	201413	272	18.139205862369607
303	111	100376	226359	278	26.153795767526475
2383	111	133099	200362	286	18.85516113337435
719	111	125469	231551	296	37.03471827391358
3856	111	125694	229913	303	13.982336928528575
2705	111	125551	225545	305	7.17876717970812
1827	111	131536	200381	308	12.05390361551391
286	111	100377	200382	320	61.54310496435755
376	111	100379	225469	320	32.443645310980656
791	111	126364	200344	321	5.017368379704292
1375	111	126386	200362	321	23.920867195759662
647	111	125469	200381	322	4.966610969186074
1496	111	130615	200381	324	18.361086226940614
1873	111	131536	201413	324	22.309049060811475
979	111	101413	200849	325	35.88657994829266
2286	111	125545	200385	327	0.27373402727809937
793	111	126364	200344	330	0.9471421265487925
1420	111	126386	200376	332	1.0064324931185102
2256	111	125545	225469	334	152.241196678779
2439	111	133099	200377	336	9.345924261460514
553	111	125469	233096	343	11.500198639158103
3552	111	129912	200384	343	0.016282965157326044
174	111	126359	225551	345	19.853780470014655
659	111	125469	200380	345	32.577074511230144
3726	111	129912	200377	345	13.041214633709126
955	111	101408	226359	350	32.0490903818588
3601	111	129912	225545	355	29.67068314154985
475	111	126234	201409	356	6.3973737650241995
64	111	100358	226364	357	15.755495880593667
1394	111	126386	200375	359	7.237898987691653
146	111	100375	200345	360	3.0546137006357355
1037	111	130479	200374	367	1.0354095043388731
2111	111	125545	225551	369	1.4422490660185932
776	111	126364	200345	377	20.154841630995104
1307	111	126386	201413	378	3.597207743700621
76	111	100361	226359	379	48.912340887211094
38	111	100356	230616	381	3.0335736721026407
1731	111	131536	200372	392	40.56779005705151
2332	111	125545	200405	398	15.60923191215456
2827	111	125551	200377	398	60.569652342941446
3106	111	125553	200362	398	30.659128388801307
554	111	125469	233096	399	49.35606345827623
873	111	126364	201409	399	8.86956979358845
1369	111	126386	200362	399	12.5655739042518
1653	111	131027	200381	402	1.6885935866778112
2921	111	125551	200405	416	1.9160084520583502
1604	111	126399	200384	417	6.949124818488253
3151	111	125553	231229	417	6.57504993567563
3284	111	125682	200344	417	14.574546896905037
2613	111	133099	230616	418	11.3680140873991
11	111	132097	200362	422	7.531492074238286
98	111	100360	226364	422	2.84937584587112
3595	111	129912	233099	423	8.564386869352742
1971	111	126307	200380	424	7.922650937257603
2375	111	133099	200362	427	46.801786557292196
3428	111	125682	201413	427	8.792724811781266
1712	111	131536	200362	430	9.183736977893894
2960	111	132077	229913	434	7.083164897213823
712	111	125469	231786	435	7.830536544768226
1765	111	131536	200378	435	11.142995083139049
688	111	125469	200403	439	23.316423616900703
23	111	132097	200382	443	36.71422411335636
1102	111	126384	225673	448	13.065781750785927
1537	111	130616	231786	449	1.026261225232197
3245	111	125553	231786	451	23.52808825226124
971	111	100386	233099	455	53.052925676487384
2873	111	125551	201410	456	1.3278331614979382
3545	111	129912	200385	457	3.5014012891447477
2483	111	133099	225469	458	0.9437839263359751
2814	111	125551	226234	459	7.410900253482893
1608	111	126399	201413	463	27.886664012819793
2739	111	125551	200849	464	15.036735501641234
366	111	100379	200362	465	19.19127041309444
404	111	126234	226307	465	0.32963354631100666
3676	111	129912	230616	467	24.701602963397377
1848	111	131536	200385	468	21.814096926098312
574	111	125469	200362	470	6.340186659829771
1108	111	126384	225673	477	9.763956039577343
2622	111	133099	230616	477	7.417062345521393
1513	111	130616	229913	482	105.26610625852805
1131	111	126384	200359	488	1.0796451731187553
2589	111	133099	200406	489	6.969361762805982
2296	111	125545	201413	491	24.400621773579275
934	111	131229	200362	492	0.39474306176744584
725	111	100380	226359	494	22.156740697596312
1241	111	100403	201410	495	17.427203391753963
2887	111	125551	201408	495	0.031478817141994686
3292	111	125682	200362	496	10.494090617615582
391	111	100378	231483	505	17.09438572551927
2073	111	125669	231786	516	36.24263813105829
3021	111	125553	225545	517	26.037461835270097
2374	111	133099	200363	520	8.751225143448128
3189	111	125553	200380	524	38.92149866590466
634	111	125469	200377	528	34.51159586634107
1079	111	126384	225673	531	9.61099174153304
394	111	100378	200382	532	37.79312193675068
3294	111	125682	200362	533	5.312203070294183
2250	111	125545	225469	537	12.983247918657776
3515	111	100345	226364	539	8.84709805586213
3596	111	129912	233099	539	14.694036600327763
1788	111	131536	200377	541	13.156609049792037
1329	111	126386	201413	545	26.119973915192706
508	111	126234	231791	552	5.161416814101979
1612	111	126399	200407	552	10.490478933836547
3143	111	125553	200376	555	2.4825336880034
3467	111	125682	226393	559	27.210135239841776
587	111	125469	200361	560	13.736935245186181
3344	111	125682	200379	560	10.864492618813024
935	111	131229	200362	561	20.47255355726078
446	111	126234	200379	563	8.023426712659473
3113	111	125553	226359	567	27.87071096601688
202	111	126359	200344	572	0.61283125085345
1348	111	126386	225545	583	47.47348831889906
708	111	125469	226399	584	45.38285849868599
1159	111	126384	200379	584	25.394585554331236
1155	111	126384	200372	585	7.937364008289288
3671	111	129912	200404	585	9.561192795858107
3719	111	129912	200377	588	1.7596674344748673
1923	111	131551	225551	593	44.68161666334937
3089	111	125553	200344	593	13.229763047355991
3606	111	129912	225673	595	19.696709559837647
2830	111	125551	200376	596	17.451748940127978
2192	111	125545	200344	603	12.730839581110839
3654	111	129912	200407	603	11.588481867361676
2501	111	133099	201410	608	58.297438220879435
