9226	19132
18043	37267
57922	118696
15115	30916
55006	112719
9227	19132
12023	23778
12867	26307
18044	37267
34841	72047
57923	118696
8964	18629
58880	120602
59552	121383
8247	16815
14233	27830
32352	66883
35278	72726
15116	30916
34616	71179
9228	19132
11094	23161
12559	25375
16792	34499
18045	37267
57924	118696
55007	112719
51942	105941
52340	107559
53024	108931
57360	116983
58342	119633
9229	19132
10887	22498
12024	23778
12868	26307
18046	37267
31827	65933
34842	72047
35745	73714
50671	103496
52686	107469
52854	107414
55653	113904
57925	118696
15117	30916
8965	18629
58881	120602
372	853
59553	121383
9230	19132
18047	37267
57926	118696
7932	16592
8248	16815
14234	27830
16449	33968
32353	66883
35279	72726
41724	86033
49030	100897
49125	100878
55008	112719
15118	30916
34617	71179
9231	19132
11095	23161
12025	23778
12560	25375
12869	26307
16793	34499
18048	37267
18499	38180
34843	72047
57927	118696
33428	68966
56682	116058
59900	122558
8966	18629
28595	59265
58882	120602
9986	20652
9232	19132
15119	30916
18049	37267
57928	118696
55009	112719
59554	121383
40496	81948
50854	104578
60393	123554
51943	105941
52341	107559
53025	108931
57361	116983
58343	119633
8249	16815
14235	27830
32354	66883
35280	72726
37939	78152
38781	79842
39411	81250
40999	84622
9233	19132
10888	22498
12026	23778
12870	26307
17413	35922
18050	37267
25162	52054
29614	61232
31828	65933
34844	72047
35746	73714
50672	103496
52687	107469
52855	107414
55654	113904
57929	118696
10722	22103
15120	30916
15883	32862
31555	65380
34217	70750
34618	71179
35904	74136
43911	90363
8967	18629
58883	120602
9234	19132
11096	23161
12561	25375
16794	34499
18051	37267
18734	38654
55010	112719
57930	118696
373	853
1406	3122
1565	3449
8169	16940
28324	58661
59555	121383
15121	30916
9235	19132
12027	23778
12871	26307
17919	37004
18052	37267
34845	72047
49803	101628
57931	118696
7933	16592
8250	16815
14236	27830
16450	33968
32355	66883
34043	70401
35281	72726
41725	86033
46473	95632
47269	97298
47683	97499
48963	100681
49890	102611
49031	100897
49126	100878
55011	112719
8968	18629
9236	19132
18053	37267
57932	118696
58884	120602
5833	12163
15122	30916
24657	50942
25833	53580
26649	55042
34619	71179
37069	76657
46506	95629
47473	97541
49698	101691
60686	124090
61799	126165
61963	126903
51944	105941
52342	107559
53026	108931
57362	116983
58344	119633
6062	12715
9237	19132
10535	22034
10889	22498
11097	23161
12028	23778
12562	25375
12872	26307
16795	34499
18054	37267
18500	38180
21101	43986
31829	65933
34846	72047
35747	73714
50673	103496
52688	107469
52856	107414
55655	113904
57933	118696
59556	121383
60835	124414
61386	125561
62310	127490
33429	68966
56683	116058
15123	30916
55012	112719
2077	4545
59901	122558
60894	124391
8251	16815
9238	19132
14237	27830
18055	37267
32356	66883
35282	72726
57934	118696
8969	18629
28596	59265
58885	120602
9987	20652
374	853
6839	14300
10506	21677
20362	42338
21414	44675
22062	45957
23330	48508
24791	50961
24863	51699
24964	51747
9239	19132
12029	23778
12873	26307
15124	30916
18056	37267
34620	71179
34847	72047
57935	118696
55013	112719
59557	121383
40497	81948
50855	104578
60394	123554
2349	4850
4237	8851
5228	10968
9240	19132
11098	23161
12563	25375
16796	34499
18057	37267
21626	45091
57936	118696
51945	105941
52343	107559
53027	108931
57363	116983
58345	119633
8970	18629
15125	30916
58886	120602
7934	16592
8252	16815
14238	27830
16451	33968
32357	66883
35283	72726
37940	78152
38782	79842
39412	81250
41000	84622
41726	86033
9241	19132
10890	22498
12030	23778
12874	26307
17414	35922
18058	37267
25163	52054
29615	61232
31830	65933
34848	72047
35748	73714
50674	103496
52689	107469
52857	107414
55656	113904
57937	118696
3514	7123
4668	364
14700	30433
21385	44611
23532	48910
25950	53937
26411	54416
30424	63016
31380	65007
41948	86412
42149	86602
42850	88204
43519	89637
44010	90700
44216	91156
49032	100897
49127	100878
55014	112719
10723	22103
15126	30916
15884	32862
31556	65380
34218	70750
34621	71179
35905	74136
43912	90363
59558	121383
9242	19132
18059	37267
57938	118696
8971	18629
58887	120602
5134	10741
5199	10949
9243	19132
11099	23161
12031	23778
12564	25375
12875	26307
15593	32243
16621	34210
16797	34499
17362	35787
17739	36617
18060	37267
18501	38180
